DatasetID	PortalURI	NumMatchingSubjects	AvailableImageModalites	sessions	tasks	fmriprep	mriqc
ds000001	https://github.com/OpenNeuroDatasets/ds000001	16	['anat', 'func']	[]	['balloonanalogrisktask']	https://github.com/OpenNeuroDerivatives/ds000001-fmriprep	https://github.com/OpenNeuroDerivatives/ds000001-mriqc
ds000002	https://github.com/OpenNeuroDatasets/ds000002	17	['anat', 'func']	[]	['deterministicclassification', 'mixedeventrelatedprobe', 'probabilisticclassification']	https://github.com/OpenNeuroDerivatives/ds000002-fmriprep	https://github.com/OpenNeuroDerivatives/ds000002-mriqc
ds000003	https://github.com/OpenNeuroDatasets/ds000003	13	['anat', 'func']	[]	['rhymejudgment']	False	https://github.com/OpenNeuroDerivatives/ds000003-mriqc
ds000005	https://github.com/OpenNeuroDatasets/ds000005	16	['anat', 'func']	[]	['mixedgamblestask']	https://github.com/OpenNeuroDerivatives/ds000005-fmriprep	https://github.com/OpenNeuroDerivatives/ds000005-mriqc
ds000006	https://github.com/OpenNeuroDatasets/ds000006	14	['anat', 'func']	['retest', 'test']	['livingnonlivingdecisionwithplainormirrorreversedtext']	False	https://github.com/OpenNeuroDerivatives/ds000006-mriqc
ds000007	https://github.com/OpenNeuroDatasets/ds000007	20	['anat', 'func']	[]	['stopmanual', 'stopvocal', 'stopword']	False	https://github.com/OpenNeuroDatasets/ds000007/tree/main/derivatives/mriqc
ds000008	https://github.com/OpenNeuroDatasets/ds000008	14	['anat', 'func']	[]	['conditionalstopsignal', 'stopsignal']	https://github.com/OpenNeuroDerivatives/ds000008-fmriprep	https://github.com/OpenNeuroDerivatives/ds000008-mriqc
ds000009	https://github.com/OpenNeuroDatasets/ds000009	24	['anat', 'dwi', 'func']	[]	['balloonanalogrisktask', 'discounting', 'emotionalregulation', 'stopsignal']	https://github.com/OpenNeuroDerivatives/ds000009-fmriprep	https://github.com/OpenNeuroDerivatives/ds000009-mriqc
ds000011	https://github.com/OpenNeuroDatasets/ds000011	14	['anat', 'func']	[]	['Classificationprobewithoutfeedback', 'Dualtaskweatherprediction', 'Singletaskweatherprediction', 'tonecounting']	False	https://github.com/OpenNeuroDerivatives/ds000011-mriqc
ds000017	https://github.com/OpenNeuroDatasets/ds000017	8	['anat', 'func']	['timepoint1', 'timepoint2']	['probabilisticclassification', 'selectivestopsignaltask']	https://github.com/OpenNeuroDerivatives/ds000017-fmriprep	https://github.com/OpenNeuroDerivatives/ds000017-mriqc
ds000030	https://github.com/OpenNeuroDatasets/ds000030	272	['anat', 'beh', 'dwi', 'func']	[]	['bart', 'bht', 'pamenc', 'pamret', 'rest', 'scap', 'stopsignal', 'stopsignaltraining', 'taskswitch']	False	https://github.com/OpenNeuroDerivatives/ds000030-mriqc
ds000031	https://github.com/OpenNeuroDatasets/ds000031	1	['anat', 'dwi', 'fmap', 'func']	['001', '003', '004', '006', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '027', '028', '029', '030', '031', '032', '033', '034', '035', '036', '037', '038', '039', '040', '041', '042', '043', '044', '045', '046', '047', '048', '049', '050', '051', '052', '053', '054', '055', '056', '057', '058', '059', '060', '061', '062', '063', '064', '065', '066', '067', '068', '069', '070', '071', '072', '073', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '093', '094', '095', '096', '097', '098', '099', '100', '101', '102', '103', '104', '107', '2015', '2017', '2022', '2022b', 'WashU', 'meanfmap']	['breathhold', 'dots', 'language', 'nback', 'objects', 'rest', 'restEyesOpen', 'restME', 'retinotopy', 'spatialwm']	False	False
ds000051	https://github.com/OpenNeuroDatasets/ds000051	13	['anat', 'func']	[]	['abstractconcretejudgment']	https://github.com/OpenNeuroDerivatives/ds000051-fmriprep	https://github.com/OpenNeuroDerivatives/ds000051-mriqc
ds000052	https://github.com/OpenNeuroDatasets/ds000052	13	['anat', 'func']	[]	['reversalweatherprediction', 'weatherprediction']	https://github.com/OpenNeuroDerivatives/ds000052-fmriprep	https://github.com/OpenNeuroDerivatives/ds000052-mriqc
ds000053	https://github.com/OpenNeuroDatasets/ds000053	59	['anat', 'func']	[]	['baseline', 'posttest', 'training']	False	https://github.com/OpenNeuroDerivatives/ds000053-mriqc
ds000101	https://github.com/OpenNeuroDatasets/ds000101	21	['anat', 'func']	[]	['simon']	https://github.com/OpenNeuroDerivatives/ds000101-fmriprep	https://github.com/OpenNeuroDerivatives/ds000101-mriqc
ds000102	https://github.com/OpenNeuroDatasets/ds000102	26	['anat', 'func']	[]	['flanker']	https://github.com/OpenNeuroDerivatives/ds000102-fmriprep	https://github.com/OpenNeuroDerivatives/ds000102-mriqc
ds000105	https://github.com/OpenNeuroDatasets/ds000105	6	['anat', 'func']	[]	['objectviewing']	https://github.com/OpenNeuroDerivatives/ds000105-fmriprep	https://github.com/OpenNeuroDerivatives/ds000105-mriqc
ds000107	https://github.com/OpenNeuroDatasets/ds000107	49	['anat', 'func']	[]	['onebacktask']	False	False
ds000108	https://github.com/OpenNeuroDatasets/ds000108	34	['anat', 'func']	[]	['Emotionregulation']	https://github.com/OpenNeuroDerivatives/ds000108-fmriprep	https://github.com/OpenNeuroDerivatives/ds000108-mriqc
ds000109	https://github.com/OpenNeuroDatasets/ds000109	36	['anat', 'func']	[]	['theoryofmindwithmanualresponse']	https://github.com/OpenNeuroDerivatives/ds000109-fmriprep	https://github.com/OpenNeuroDerivatives/ds000109-mriqc
ds000110	https://github.com/OpenNeuroDatasets/ds000110	18	['anat', 'func']	[]	['IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment']	False	https://github.com/OpenNeuroDatasets/ds000110/tree/main/derivatives/mriqc
